trade_id,factor_name,factor_value,factor_threshold,contribution
pgcotc8c,atr_mult,52.52,2.5,-0.11
pgcotc8c,macd_hist,52.64,,0.86
pgcotc8c,vwap_dist,48.03,,0.96
l2vi0tmx,rsi_14,66.97,70,0.62
l2vi0tmx,atr_mult,89.18,2.5,0.39
l2vi0tmx,macd_hist,70.75,,0.29
997wwmkb,rsi_14,56.93,70,-0.09
997wwmkb,atr_mult,31.08,2.5,0.39
997wwmkb,macd_hist,51.29,,-0.12
8xg57vux,rsi_14,34.13,70,-0.41
8xg57vux,atr_mult,85.16,2.5,-0.31
1ti09b6v,rsi_14,24.35,70,0.16
1ti09b6v,atr_mult,49.59,2.5,-0.07
c15tz09q,rsi_14,28.88,70,0.85
c15tz09q,atr_mult,45.68,2.5,-0.49
c15tz09q,macd_hist,29.50,,-0.23
c15tz09q,vwap_dist,32.02,,-0.03
fkba0qkr,rsi_14,32.99,30,0.32
fkba0qkr,atr_mult,78.25,2.5,-0.27
860z9cw8,rsi_14,87.31,30,0.64
860z9cw8,atr_mult,86.30,2.5,0.44
860z9cw8,macd_hist,27.03,,0.96
860z9cw8,vwap_dist,23.09,,-0.26
no5s0v4w,rsi_14,14.11,70,0.54
no5s0v4w,atr_mult,35.09,2.5,0.33
no5s0v4w,macd_hist,71.11,,-0.81
z6mpyaty,rsi_14,63.51,70,-0.16
z6mpyaty,atr_mult,71.94,2.5,-0.43
z6mpyaty,macd_hist,81.40,,0.56
yt6v8fku,rsi_14,65.10,70,0.20
yt6v8fku,atr_mult,57.99,2.5,-0.23
yt6v8fku,macd_hist,21.48,,0.28
dj0xiup8,rsi_14,75.98,30,-0.98
dj0xiup8,atr_mult,85.17,2.5,-0.87
dj0xiup8,macd_hist,18.28,,-0.25
zri5a8ap,rsi_14,65.33,70,-0.28
zri5a8ap,atr_mult,44.38,2.5,-0.26
inrl1hnu,rsi_14,57.94,70,0.19
inrl1hnu,atr_mult,50.52,2.5,-0.29
inrl1hnu,macd_hist,14.66,,0.55
dbqatx71,rsi_14,22.45,70,-0.94
dbqatx71,atr_mult,58.95,2.5,0.91
pjoo0s9y,rsi_14,82.35,70,-0.18
pjoo0s9y,atr_mult,60.74,2.5,-0.82
pjoo0s9y,macd_hist,63.31,,0.41
pjoo0s9y,vwap_dist,29.82,,-1.00
dr1d8220,rsi_14,73.40,70,-0.58
dr1d8220,atr_mult,42.80,2.5,-0.29
dr1d8220,macd_hist,54.57,,-0.19
dr1d8220,vwap_dist,55.31,,-0.35
6zxavbvz,rsi_14,49.81,30,0.79
6zxavbvz,atr_mult,23.93,2.5,-0.43
6zxavbvz,macd_hist,68.93,,-0.72
b38qq3qz,rsi_14,31.56,70,-0.87
b38qq3qz,atr_mult,84.65,2.5,-0.05
leu53a1x,rsi_14,14.61,30,-0.52
leu53a1x,atr_mult,73.28,2.5,0.01
uyzypmza,rsi_14,53.90,30,0.74
uyzypmza,atr_mult,75.78,2.5,0.10
uyzypmza,macd_hist,47.89,,0.34
uyzypmza,vwap_dist,33.47,,-0.56
p3d7byfs,rsi_14,70.97,30,0.13
p3d7byfs,atr_mult,40.79,2.5,-0.03
p3d7byfs,macd_hist,83.34,,0.49
1gn9fxpg,rsi_14,49.21,30,-0.90
1gn9fxpg,atr_mult,58.35,2.5,-0.83
1gn9fxpg,macd_hist,46.59,,0.49
ht620ftg,rsi_14,85.65,30,0.74
ht620ftg,atr_mult,89.06,2.5,0.49
j1q8g9tg,rsi_14,62.78,70,-0.46
j1q8g9tg,atr_mult,68.48,2.5,-0.17
j1q8g9tg,macd_hist,80.16,,-0.36
211s62z8,rsi_14,69.99,30,-0.06
211s62z8,atr_mult,11.45,2.5,0.31
rc2ing65,rsi_14,72.01,30,0.55
rc2ing65,atr_mult,38.72,2.5,0.90
m42seb0c,rsi_14,47.88,30,0.08
m42seb0c,atr_mult,53.16,2.5,0.76
m42seb0c,macd_hist,61.81,,-0.73
n370fe6y,rsi_14,56.75,70,0.74
n370fe6y,atr_mult,15.25,2.5,0.55
n370fe6y,macd_hist,73.17,,-0.04
n370fe6y,vwap_dist,26.33,,-0.79
acu2prep,rsi_14,53.86,30,-0.52
acu2prep,atr_mult,54.04,2.5,0.98
acu2prep,macd_hist,56.27,,0.35
ulp9pqmz,rsi_14,80.15,70,0.13
ulp9pqmz,atr_mult,25.76,2.5,-0.76
kvnr3qss,rsi_14,30.99,30,0.90
kvnr3qss,atr_mult,30.45,2.5,-0.08
kvnr3qss,macd_hist,65.15,,-0.47
kvnr3qss,vwap_dist,44.74,,-0.22
t5tpx4pe,rsi_14,13.35,70,-0.51
t5tpx4pe,atr_mult,89.49,2.5,-0.50
w4x2qnwe,rsi_14,32.00,70,-0.53
w4x2qnwe,atr_mult,37.78,2.5,0.04
hyyllbrb,rsi_14,52.90,30,0.88
hyyllbrb,atr_mult,22.19,2.5,-0.87
hyyllbrb,macd_hist,54.66,,-0.92
ra4oqc9c,rsi_14,75.90,30,0.42
ra4oqc9c,atr_mult,76.25,2.5,0.53
ra4oqc9c,macd_hist,88.61,,0.90
joxdggvb,rsi_14,71.66,30,0.63
joxdggvb,atr_mult,16.92,2.5,0.66
joxdggvb,macd_hist,44.49,,0.98
eentrse3,rsi_14,51.38,30,0.67
eentrse3,atr_mult,21.01,2.5,-0.66
95v6r8t1,rsi_14,41.18,30,0.51
95v6r8t1,atr_mult,78.66,2.5,0.39
95v6r8t1,macd_hist,47.95,,0.28
95v6r8t1,vwap_dist,56.41,,-0.58
60mro2iw,rsi_14,22.10,70,0.36
60mro2iw,atr_mult,72.92,2.5,0.28
60mro2iw,macd_hist,35.12,,-0.13
60mro2iw,vwap_dist,73.19,,0.49
7ez0y5zg,rsi_14,37.58,30,-0.13
7ez0y5zg,atr_mult,40.29,2.5,-0.12
7ez0y5zg,macd_hist,62.08,,-0.07
7ez0y5zg,vwap_dist,25.94,,0.58
ss0y63a9,rsi_14,82.55,70,-0.62
ss0y63a9,atr_mult,42.15,2.5,-0.50
i2rd1wjz,rsi_14,13.93,70,-0.80
i2rd1wjz,atr_mult,50.52,2.5,-0.33
i2rd1wjz,macd_hist,36.35,,-0.94
i2rd1wjz,vwap_dist,55.92,,-0.53
dxr5tgp1,rsi_14,13.57,30,0.38
dxr5tgp1,atr_mult,34.28,2.5,-0.44
col2z2xs,rsi_14,82.59,70,0.06
col2z2xs,atr_mult,22.41,2.5,-0.63
sygkve7w,rsi_14,60.71,30,-0.09
sygkve7w,atr_mult,47.31,2.5,0.50
sygkve7w,macd_hist,25.95,,-0.63
qja4a5r5,rsi_14,73.74,30,0.45
qja4a5r5,atr_mult,52.77,2.5,-0.23
amp582x5,rsi_14,65.08,70,0.79
amp582x5,atr_mult,59.70,2.5,-0.60
amp582x5,macd_hist,15.04,,0.04
gh9cd12w,rsi_14,55.96,30,0.58
gh9cd12w,atr_mult,85.51,2.5,0.02
gh9cd12w,macd_hist,82.75,,-0.26
tlo8qehk,rsi_14,85.30,70,0.72
tlo8qehk,atr_mult,80.52,2.5,0.61
zg2mgruy,rsi_14,17.47,30,0.42
zg2mgruy,atr_mult,24.72,2.5,-0.29
zg2mgruy,macd_hist,44.74,,0.35
zg2mgruy,vwap_dist,70.75,,0.08
andpot05,rsi_14,21.67,30,0.73
andpot05,atr_mult,88.26,2.5,0.22
andpot05,macd_hist,17.42,,-0.74
jloviytj,rsi_14,69.17,70,0.05
jloviytj,atr_mult,76.25,2.5,0.40
jloviytj,macd_hist,66.86,,-0.37
jloviytj,vwap_dist,77.39,,-0.08
fzuh68x6,rsi_14,64.60,30,0.93
fzuh68x6,atr_mult,76.11,2.5,0.18
nloykn90,rsi_14,20.83,30,0.59
nloykn90,atr_mult,62.26,2.5,0.29
q6prhk9t,rsi_14,73.12,70,-0.94
q6prhk9t,atr_mult,69.25,2.5,-0.68
synvujvz,rsi_14,34.39,30,-0.16
synvujvz,atr_mult,81.33,2.5,0.11
synvujvz,macd_hist,10.13,,0.93
8esx5ela,rsi_14,60.60,30,-0.54
8esx5ela,atr_mult,44.92,2.5,0.76
8esx5ela,macd_hist,79.01,,0.70
8esx5ela,vwap_dist,67.96,,0.19
jzms1w61,rsi_14,22.79,30,-0.58
jzms1w61,atr_mult,12.04,2.5,0.03
jzms1w61,macd_hist,76.76,,0.85
d5mvc17b,rsi_14,65.01,70,-0.70
d5mvc17b,atr_mult,72.45,2.5,-0.07
d5mvc17b,macd_hist,26.78,,0.24
d5mvc17b,vwap_dist,26.56,,-0.75
5usndyls,rsi_14,43.88,70,0.33
5usndyls,atr_mult,66.88,2.5,0.95
5usndyls,macd_hist,70.15,,0.86
5usndyls,vwap_dist,19.83,,0.91
4j3lznwc,rsi_14,72.76,70,0.39
4j3lznwc,atr_mult,13.49,2.5,0.77
6f3ezixc,rsi_14,54.73,70,-0.09
6f3ezixc,atr_mult,44.90,2.5,0.14
6f3ezixc,macd_hist,10.11,,-0.73
y4m5o4vr,rsi_14,82.28,30,0.20
y4m5o4vr,atr_mult,78.54,2.5,0.63
y4m5o4vr,macd_hist,54.74,,0.22
wqhakbsk,rsi_14,59.34,30,0.29
wqhakbsk,atr_mult,85.05,2.5,-0.25
wqhakbsk,macd_hist,32.62,,-0.57
wqhakbsk,vwap_dist,87.58,,-0.69
fefjn9kt,rsi_14,25.67,70,0.05
fefjn9kt,atr_mult,18.96,2.5,-0.43
4f68uuqh,rsi_14,16.29,70,0.07
4f68uuqh,atr_mult,76.83,2.5,0.01
rdiaowmk,rsi_14,33.50,30,0.48
rdiaowmk,atr_mult,62.54,2.5,0.45
7fo0s27t,rsi_14,28.64,30,0.69
7fo0s27t,atr_mult,76.13,2.5,-0.31
l8uvhb77,rsi_14,60.96,70,-0.08
l8uvhb77,atr_mult,14.39,2.5,0.79
om220ha9,rsi_14,34.82,70,-0.79
om220ha9,atr_mult,39.79,2.5,0.64
om220ha9,macd_hist,59.17,,-0.92
om220ha9,vwap_dist,84.14,,0.07
r22t01je,rsi_14,29.60,70,0.65
r22t01je,atr_mult,74.10,2.5,0.86
s2frdry6,rsi_14,55.28,70,0.39
s2frdry6,atr_mult,17.45,2.5,-0.16
s2frdry6,macd_hist,83.77,,-0.71
79tvx6vj,rsi_14,83.49,70,-0.01
79tvx6vj,atr_mult,63.78,2.5,-0.33
79tvx6vj,macd_hist,62.29,,-0.76
79tvx6vj,vwap_dist,33.91,,-0.62
dqxw6k1w,rsi_14,69.67,70,0.27
dqxw6k1w,atr_mult,74.14,2.5,0.37
dqxw6k1w,macd_hist,82.16,,-0.87
i5c0z398,rsi_14,47.65,70,-0.76
i5c0z398,atr_mult,46.91,2.5,0.27
i5c0z398,macd_hist,27.35,,-0.34
i5c0z398,vwap_dist,53.24,,-0.84
8dt3f5t7,rsi_14,60.97,30,0.45
8dt3f5t7,atr_mult,52.56,2.5,-0.45
8dt3f5t7,macd_hist,80.98,,0.21
8dt3f5t7,vwap_dist,85.47,,0.18
2y6n3w1j,rsi_14,60.78,70,0.40
2y6n3w1j,atr_mult,80.80,2.5,-0.96
a0rlceko,rsi_14,58.28,70,-0.35
a0rlceko,atr_mult,51.92,2.5,-0.53
a0rlceko,macd_hist,68.67,,0.14
d8275b6b,rsi_14,43.93,30,-0.74
d8275b6b,atr_mult,40.85,2.5,-0.27
50a2i638,rsi_14,71.73,30,0.29
50a2i638,atr_mult,77.55,2.5,0.44
xn8j4wst,rsi_14,40.72,70,0.54
xn8j4wst,atr_mult,67.73,2.5,-0.50
iuaikf25,rsi_14,71.06,70,-0.44
iuaikf25,atr_mult,26.23,2.5,0.56
iuaikf25,macd_hist,38.95,,0.60
17xsqqmi,rsi_14,17.35,70,0.03
17xsqqmi,atr_mult,42.44,2.5,-0.56
17xsqqmi,macd_hist,21.94,,0.18
m9makstu,rsi_14,47.03,30,-0.19
m9makstu,atr_mult,11.79,2.5,-0.18
s22hwik1,rsi_14,23.12,70,0.35
s22hwik1,atr_mult,21.23,2.5,-0.16
s22hwik1,macd_hist,46.97,,-0.86
ua2n9bdh,rsi_14,59.07,30,0.20
ua2n9bdh,atr_mult,38.19,2.5,-0.69
ua2n9bdh,macd_hist,47.11,,0.96
ley42x90,rsi_14,26.56,30,-0.55
ley42x90,atr_mult,11.22,2.5,-0.18
ley42x90,macd_hist,56.93,,0.66
m38zjqcz,rsi_14,64.70,30,-0.67
m38zjqcz,atr_mult,11.35,2.5,0.94
m38zjqcz,macd_hist,64.54,,-0.67
m38zjqcz,vwap_dist,37.67,,0.29
831badrm,rsi_14,19.91,70,-0.19
831badrm,atr_mult,74.55,2.5,-0.26
831badrm,macd_hist,82.75,,-0.37
ruyj0y6r,rsi_14,69.27,30,-0.65
ruyj0y6r,atr_mult,58.36,2.5,-0.06
ruyj0y6r,macd_hist,38.39,,0.31
ruyj0y6r,vwap_dist,70.12,,-0.94
lnazc4w0,rsi_14,12.90,70,-0.55
lnazc4w0,atr_mult,11.23,2.5,1.00
lnazc4w0,macd_hist,81.28,,0.93
j5oii2e5,rsi_14,77.26,70,0.33
j5oii2e5,atr_mult,53.99,2.5,-0.10
j5oii2e5,macd_hist,75.39,,0.96
j5oii2e5,vwap_dist,44.25,,-0.10
ys2adboa,rsi_14,55.46,70,0.08
ys2adboa,atr_mult,74.22,2.5,-0.00
ys2adboa,macd_hist,17.90,,-0.53
v5v0xsip,rsi_14,85.34,70,0.60
v5v0xsip,atr_mult,45.57,2.5,0.69
qh4f6jl6,rsi_14,46.15,30,-0.22
qh4f6jl6,atr_mult,46.34,2.5,-0.72
qh4f6jl6,macd_hist,80.37,,-0.64
en2j19dk,rsi_14,42.20,30,0.24
en2j19dk,atr_mult,51.85,2.5,0.20
kifc7rlr,rsi_14,55.04,70,-0.57
kifc7rlr,atr_mult,89.52,2.5,0.05
kifc7rlr,macd_hist,17.79,,-0.74
kifc7rlr,vwap_dist,17.58,,0.14
v2jfdkzx,rsi_14,73.21,30,0.40
v2jfdkzx,atr_mult,70.76,2.5,-0.82
n4tp5ds9,rsi_14,54.85,70,0.11
n4tp5ds9,atr_mult,77.38,2.5,0.09
n4tp5ds9,macd_hist,83.76,,-0.75
n4tp5ds9,vwap_dist,86.98,,-0.47
22e4su3e,rsi_14,56.84,30,0.38
22e4su3e,atr_mult,69.79,2.5,-0.38
22e4su3e,macd_hist,52.53,,0.58
22e4su3e,vwap_dist,24.50,,0.79
yhvfeu12,rsi_14,17.61,70,0.40
yhvfeu12,atr_mult,19.03,2.5,-0.43
gc40j4qt,rsi_14,87.17,30,-0.55
gc40j4qt,atr_mult,45.35,2.5,0.45
ol8muqp2,rsi_14,78.67,30,0.06
ol8muqp2,atr_mult,46.87,2.5,-0.63
0q7lxgh4,rsi_14,23.45,30,-0.06
0q7lxgh4,atr_mult,11.79,2.5,0.05
0q7lxgh4,macd_hist,24.85,,-0.02
400phfzw,rsi_14,39.45,70,0.51
400phfzw,atr_mult,23.21,2.5,0.85
5mey6sec,rsi_14,42.68,30,0.01
5mey6sec,atr_mult,50.49,2.5,0.26
5mey6sec,macd_hist,39.98,,-0.42
5mey6sec,vwap_dist,75.23,,0.94
husb13dt,rsi_14,40.86,30,-0.09
husb13dt,atr_mult,17.00,2.5,0.38
husb13dt,macd_hist,81.57,,-0.78
husb13dt,vwap_dist,89.53,,-0.00
gd7hz3r2,rsi_14,85.81,70,-0.13
gd7hz3r2,atr_mult,22.51,2.5,-0.49
gd7hz3r2,macd_hist,20.47,,0.16
gd7hz3r2,vwap_dist,59.79,,0.28
vm779sp9,rsi_14,86.26,30,0.24
vm779sp9,atr_mult,16.56,2.5,0.55
96dayhv1,rsi_14,80.08,70,-0.56
96dayhv1,atr_mult,31.53,2.5,-0.08
96dayhv1,macd_hist,83.13,,-0.95
3k04h71c,rsi_14,53.46,30,-0.60
3k04h71c,atr_mult,55.67,2.5,0.10
ukbewpdq,rsi_14,77.15,70,-0.29
ukbewpdq,atr_mult,57.75,2.5,0.50
2dbhg941,rsi_14,50.58,30,0.62
2dbhg941,atr_mult,77.60,2.5,0.92
tyniplr5,rsi_14,15.36,70,0.70
tyniplr5,atr_mult,11.44,2.5,0.78
0sw43xqd,rsi_14,80.70,30,0.68
0sw43xqd,atr_mult,81.24,2.5,-0.56
0sw43xqd,macd_hist,27.34,,-0.72
z4m43ob8,rsi_14,35.72,30,-0.45
z4m43ob8,atr_mult,79.83,2.5,-0.20
z4m43ob8,macd_hist,55.26,,0.70
z4m43ob8,vwap_dist,54.47,,0.83
guqtn4l0,rsi_14,52.21,70,-0.69
guqtn4l0,atr_mult,74.63,2.5,0.19
guqtn4l0,macd_hist,74.48,,0.85
guqtn4l0,vwap_dist,78.00,,-0.54
frd05t4x,rsi_14,13.85,30,0.74
frd05t4x,atr_mult,80.90,2.5,0.45
a4mm2b0g,rsi_14,50.78,70,-0.11
a4mm2b0g,atr_mult,22.43,2.5,-0.14
llovzwm6,rsi_14,51.30,30,0.16
llovzwm6,atr_mult,88.04,2.5,-0.63
tfjjbd46,rsi_14,79.57,30,0.30
tfjjbd46,atr_mult,22.18,2.5,-0.74
m8zglhl1,rsi_14,40.48,30,0.33
m8zglhl1,atr_mult,64.19,2.5,0.03
m8zglhl1,macd_hist,42.96,,0.32
m8zglhl1,vwap_dist,79.95,,-0.82
b931k5id,rsi_14,70.64,70,0.55
b931k5id,atr_mult,82.89,2.5,0.64
b931k5id,macd_hist,39.09,,0.06
b931k5id,vwap_dist,54.30,,0.12
fbkyf9zs,rsi_14,41.82,30,0.64
fbkyf9zs,atr_mult,18.49,2.5,0.19
t7y7dhyl,rsi_14,52.52,70,-0.99
t7y7dhyl,atr_mult,87.12,2.5,-0.35
fn4lm5md,rsi_14,11.18,70,-0.43
fn4lm5md,atr_mult,56.82,2.5,0.72
tni94381,rsi_14,30.44,30,0.47
tni94381,atr_mult,68.05,2.5,-0.47
i4ue9icj,rsi_14,79.21,70,0.56
i4ue9icj,atr_mult,74.29,2.5,0.72
i4ue9icj,macd_hist,15.36,,-0.64
i4ue9icj,vwap_dist,45.08,,0.47
v3mo575h,rsi_14,24.90,70,-0.13
v3mo575h,atr_mult,32.33,2.5,-0.61
g7rabz1v,rsi_14,11.20,30,-0.95
g7rabz1v,atr_mult,11.45,2.5,-0.17
g7rabz1v,macd_hist,19.41,,-0.95
g7rabz1v,vwap_dist,42.19,,-0.80
0xfevlw9,rsi_14,46.02,30,-0.83
0xfevlw9,atr_mult,13.86,2.5,0.06
0xfevlw9,macd_hist,50.39,,0.35
7dpbagxk,rsi_14,84.59,70,-0.77
7dpbagxk,atr_mult,33.78,2.5,-0.96
7dpbagxk,macd_hist,78.26,,-0.62
3j0qj58i,rsi_14,70.87,70,-0.39
3j0qj58i,atr_mult,37.67,2.5,-0.81
3j0qj58i,macd_hist,24.65,,-0.35
eo923lmm,rsi_14,56.55,30,-0.35
eo923lmm,atr_mult,11.81,2.5,0.77
ji3m39wn,rsi_14,28.22,70,-0.04
ji3m39wn,atr_mult,60.41,2.5,0.82
ji3m39wn,macd_hist,67.66,,-0.26
ji3m39wn,vwap_dist,12.33,,0.46
syz2njxx,rsi_14,22.53,30,-0.19
syz2njxx,atr_mult,49.84,2.5,0.47
syz2njxx,macd_hist,45.57,,-0.61
vxtm0t10,rsi_14,59.87,30,-0.47
vxtm0t10,atr_mult,37.35,2.5,-0.90
76zue5dp,rsi_14,68.06,30,-0.64
76zue5dp,atr_mult,83.48,2.5,0.89
76zue5dp,macd_hist,53.41,,-0.92
76zue5dp,vwap_dist,72.10,,-0.68
t34meb4l,rsi_14,16.93,30,0.29
t34meb4l,atr_mult,56.52,2.5,0.59
60j8tc50,rsi_14,46.49,70,-0.91
60j8tc50,atr_mult,77.73,2.5,0.84
60j8tc50,macd_hist,64.47,,0.98
60j8tc50,vwap_dist,43.27,,0.70
cyqs3muy,rsi_14,40.43,30,1.00
cyqs3muy,atr_mult,74.87,2.5,0.94
m2016qkd,rsi_14,71.71,70,0.73
m2016qkd,atr_mult,70.64,2.5,0.86
m2016qkd,macd_hist,45.33,,-0.08
m2016qkd,vwap_dist,69.20,,-0.59
jj8kaixu,rsi_14,32.91,30,0.39
jj8kaixu,atr_mult,81.04,2.5,0.23
jj8kaixu,macd_hist,18.73,,-0.90
jj8kaixu,vwap_dist,14.39,,0.44
tm1p31ug,rsi_14,33.04,70,0.18
tm1p31ug,atr_mult,20.80,2.5,0.03
tm1p31ug,macd_hist,23.48,,0.23
j2dtsdnf,rsi_14,48.45,30,0.98
j2dtsdnf,atr_mult,83.96,2.5,0.77
fed8ydjw,rsi_14,19.55,70,0.97
fed8ydjw,atr_mult,22.90,2.5,0.29
fed8ydjw,macd_hist,24.79,,0.97
56pii7dy,rsi_14,20.54,30,-0.25
56pii7dy,atr_mult,51.11,2.5,-0.08
wcle09yq,rsi_14,37.16,30,-0.82
wcle09yq,atr_mult,51.70,2.5,-0.91
wcle09yq,macd_hist,26.34,,0.10
wcle09yq,vwap_dist,17.97,,0.30
5g8ij6rm,rsi_14,88.67,70,-0.87
5g8ij6rm,atr_mult,86.83,2.5,-0.69
5g8ij6rm,macd_hist,40.30,,-0.82
5g8ij6rm,vwap_dist,11.55,,0.61
2uxju7ph,rsi_14,74.08,70,-0.22
2uxju7ph,atr_mult,72.17,2.5,-0.81
2uxju7ph,macd_hist,49.48,,-0.19
2uxju7ph,vwap_dist,60.50,,-0.25
aiqteunb,rsi_14,74.81,30,-0.50
aiqteunb,atr_mult,40.88,2.5,0.33
j4abpdx3,rsi_14,82.21,30,0.97
j4abpdx3,atr_mult,38.14,2.5,-0.55
j4abpdx3,macd_hist,83.66,,0.28
k5xtmtga,rsi_14,30.72,30,-0.01
k5xtmtga,atr_mult,39.89,2.5,0.08
k5xtmtga,macd_hist,39.44,,0.92
k5xtmtga,vwap_dist,64.50,,0.26
bxwbeknl,rsi_14,49.11,70,0.79
bxwbeknl,atr_mult,88.20,2.5,0.60
bxwbeknl,macd_hist,17.77,,0.67
qhiwra10,rsi_14,20.66,70,0.99
qhiwra10,atr_mult,88.06,2.5,-0.69
qhiwra10,macd_hist,33.19,,-0.65
plv1dauf,rsi_14,77.19,30,0.55
plv1dauf,atr_mult,75.95,2.5,0.87
plv1dauf,macd_hist,84.95,,0.34
plv1dauf,vwap_dist,37.63,,0.48
75dvl07x,rsi_14,64.89,30,0.81
75dvl07x,atr_mult,48.39,2.5,-0.19
75dvl07x,macd_hist,18.87,,-0.79
75dvl07x,vwap_dist,22.37,,0.52
cbfw8blc,rsi_14,13.40,30,0.36
cbfw8blc,atr_mult,54.35,2.5,0.68
cbfw8blc,macd_hist,45.66,,-0.75
cbfw8blc,vwap_dist,40.74,,-0.62
5t7a1cf5,rsi_14,52.06,30,0.76
5t7a1cf5,atr_mult,40.66,2.5,-0.46
5t7a1cf5,macd_hist,77.06,,-0.16
4bkbwiyp,rsi_14,56.86,70,-0.67
4bkbwiyp,atr_mult,38.54,2.5,0.77
4bkbwiyp,macd_hist,31.83,,0.11
kjl3fyes,rsi_14,16.61,30,-0.66
kjl3fyes,atr_mult,58.20,2.5,0.57
kjl3fyes,macd_hist,75.10,,-0.47
v7p1vol9,rsi_14,50.99,70,0.43
v7p1vol9,atr_mult,27.47,2.5,0.05
v7p1vol9,macd_hist,18.12,,0.12
v7p1vol9,vwap_dist,50.73,,0.58
b8nnaita,rsi_14,49.45,70,0.28
b8nnaita,atr_mult,28.53,2.5,-0.19
b8nnaita,macd_hist,88.82,,0.29
97320a96,rsi_14,51.32,70,-0.71
97320a96,atr_mult,73.66,2.5,-0.98
97320a96,macd_hist,78.33,,0.27
6alj2svc,rsi_14,25.29,70,-0.92
6alj2svc,atr_mult,83.37,2.5,-0.59
qrd71j3s,rsi_14,19.43,70,0.77
qrd71j3s,atr_mult,71.03,2.5,-0.45
j57tzra7,rsi_14,19.25,30,-0.35
j57tzra7,atr_mult,79.65,2.5,-0.21
zriocqgh,rsi_14,30.82,30,0.49
zriocqgh,atr_mult,37.85,2.5,0.85
t3l6fu9b,rsi_14,81.00,30,-0.01
t3l6fu9b,atr_mult,44.02,2.5,-0.01
t3l6fu9b,macd_hist,26.68,,-0.48
t3l6fu9b,vwap_dist,50.56,,-0.44
n7s2bzhi,rsi_14,67.53,70,0.05
n7s2bzhi,atr_mult,27.12,2.5,-0.31
n7s2bzhi,macd_hist,14.86,,0.45
bcxfr37c,rsi_14,60.22,30,0.98
bcxfr37c,atr_mult,32.87,2.5,0.71
bcxfr37c,macd_hist,37.11,,-0.20
bcxfr37c,vwap_dist,20.38,,-0.09
k4t48duf,rsi_14,89.41,70,0.48
k4t48duf,atr_mult,56.61,2.5,0.28
k4t48duf,macd_hist,74.37,,0.04
ofh04q1o,rsi_14,86.23,70,-0.22
ofh04q1o,atr_mult,16.82,2.5,0.54
ofh04q1o,macd_hist,59.62,,-0.94
ofh04q1o,vwap_dist,25.40,,0.30
9ug39qkx,rsi_14,82.05,70,-0.40
9ug39qkx,atr_mult,13.10,2.5,-0.34
9ug39qkx,macd_hist,79.60,,0.55
te25t7ip,rsi_14,78.74,70,-0.78
te25t7ip,atr_mult,55.68,2.5,1.00
te25t7ip,macd_hist,29.67,,0.33
te25t7ip,vwap_dist,45.31,,0.77
41hz2h8g,rsi_14,37.88,70,-0.15
41hz2h8g,atr_mult,28.45,2.5,-0.05
stvqi6e6,rsi_14,24.08,30,-0.17
stvqi6e6,atr_mult,84.23,2.5,-0.30
emr826b9,rsi_14,51.68,70,-0.58
emr826b9,atr_mult,31.26,2.5,-0.96
nf9q47jv,rsi_14,76.88,30,-0.90
nf9q47jv,atr_mult,14.84,2.5,-0.30
nf9q47jv,macd_hist,61.35,,0.97
nf9q47jv,vwap_dist,49.64,,0.81
i830bjpk,rsi_14,60.55,30,-0.55
i830bjpk,atr_mult,29.53,2.5,-0.58
i830bjpk,macd_hist,15.26,,0.15
k0retf56,rsi_14,19.36,30,-0.02
k0retf56,atr_mult,13.29,2.5,0.19
k0retf56,macd_hist,34.64,,0.59
jbqufkm8,rsi_14,25.57,30,0.17
jbqufkm8,atr_mult,60.31,2.5,-0.66
jbqufkm8,macd_hist,35.91,,0.99
jbqufkm8,vwap_dist,35.02,,-0.53
hvhmu959,rsi_14,32.44,70,-0.35
hvhmu959,atr_mult,53.60,2.5,0.99
edroba2f,rsi_14,84.43,30,-0.83
edroba2f,atr_mult,24.52,2.5,0.96
edroba2f,macd_hist,47.23,,0.63
gunzuqgb,rsi_14,18.78,70,-0.20
gunzuqgb,atr_mult,19.70,2.5,0.09
ky392p1m,rsi_14,86.98,30,-0.96
ky392p1m,atr_mult,75.95,2.5,-0.80
ky392p1m,macd_hist,52.76,,-0.06
ky392p1m,vwap_dist,46.34,,-0.94
aguv27z4,rsi_14,22.14,70,-0.64
aguv27z4,atr_mult,18.42,2.5,0.44
aguv27z4,macd_hist,23.75,,-0.74
2l2nrsq5,rsi_14,87.12,70,0.37
2l2nrsq5,atr_mult,85.64,2.5,0.93
2l2nrsq5,macd_hist,80.82,,-0.42
2l2nrsq5,vwap_dist,45.46,,0.30
6cvua1ap,rsi_14,59.08,70,0.61
6cvua1ap,atr_mult,38.00,2.5,0.90
6cvua1ap,macd_hist,46.72,,-0.53
vcas392k,rsi_14,21.73,30,-0.67
vcas392k,atr_mult,27.85,2.5,-0.29
vsr5hxxz,rsi_14,20.70,70,-0.77
vsr5hxxz,atr_mult,73.32,2.5,-0.87
vsr5hxxz,macd_hist,44.46,,-0.76
vsr5hxxz,vwap_dist,32.41,,-0.55
n93qc09o,rsi_14,16.14,70,-0.38
n93qc09o,atr_mult,31.06,2.5,-0.52
n93qc09o,macd_hist,42.48,,-0.72
y1ge05ke,rsi_14,33.48,70,0.84
y1ge05ke,atr_mult,45.11,2.5,-0.93
osimhpf1,rsi_14,72.46,70,0.85
